id,EAP,HPL,MWS
id02310,0.4173976,0.27035668,0.31224564
id24541,0.9850503,0.0020448503,0.012904761
id00134,0.47801808,0.39036515,0.13161682
id27757,0.6447686,0.295944,0.05928736
id04081,0.24937108,0.056219395,0.6944096
id27337,0.034839533,0.9516738,0.013486584
id24265,0.92235416,0.048730798,0.028914994
id25917,0.13045518,0.032140933,0.8374039
id04951,0.9576216,0.02909053,0.013287944
id14549,0.45151073,0.14924225,0.39924702
id22505,0.9810909,0.005926092,0.01298291
id24002,0.47734997,0.5064801,0.016169954
id18982,0.03270835,0.011482417,0.95580924
id15181,0.31470916,0.6024623,0.08282854
id21888,0.95819116,0.0066030305,0.03520587
id12035,0.5936861,0.2927922,0.11352163
id17991,0.9302054,0.035211563,0.034583073
id10707,0.9797372,0.0028437204,0.01741906
id07101,0.36180234,0.5627482,0.07544948
id00345,0.746558,0.24297276,0.010469252
id05912,0.3463385,0.014762687,0.6388988
id13443,0.72490835,0.11022912,0.16486254
id09248,0.791202,0.07998998,0.128808
id17542,0.66876477,0.15569542,0.1755398
id06995,0.7173835,0.19046481,0.092151605
id25159,0.31679717,0.041721754,0.6414811
id25729,0.46854392,0.06882986,0.46262622
id26949,0.40542245,0.083611,0.51096654
id27191,0.16915792,0.22007261,0.61076945
id07668,0.79986656,0.017536912,0.18259645
id02230,0.20194402,0.2509111,0.5471449
id15553,0.046682607,0.06683836,0.886479
id25688,0.24811478,0.7327331,0.019152144
id17545,0.29297104,0.4498246,0.25720438
id13929,0.8123068,0.07856551,0.10912764
id12880,0.076174445,0.6897899,0.23403566
id19282,0.32617557,0.40398118,0.26984328
id14690,0.4175778,0.15044166,0.43198052
id17975,0.8517447,0.0959219,0.05233346
id08037,0.98483354,0.0074469266,0.0077195927
id15412,0.8728557,0.046449438,0.08069482
id25032,0.5906071,0.32912007,0.08027279
id27165,0.37180734,0.53554076,0.092651926
id03327,0.27835077,0.6310224,0.090626866
id18515,0.9804827,0.016225377,0.0032918737
id21003,0.42296606,0.25826198,0.31877202
id23855,0.39062646,0.13795117,0.4714224
id20724,0.8001079,0.14812364,0.05176838
id13303,0.6648235,0.28807294,0.047103584
id16521,0.04903079,0.85331017,0.09765906
id20775,0.61757714,0.27547747,0.1069454
id13029,0.34984183,0.48587734,0.16428082
id14660,0.43207636,0.26005822,0.30786538
id11028,0.790016,0.061745215,0.1482387
id14180,0.9061903,0.020513609,0.07329607
id25860,0.5515037,0.38847414,0.060022082
id11910,0.23796803,0.056464616,0.70556736
id08065,0.22298764,0.25983676,0.5171756
id22674,0.71427304,0.11362235,0.1721047
id25018,0.4606449,0.21318145,0.3261737
id10892,0.23244008,0.11876959,0.6487903
id10217,0.77276415,0.11799305,0.109242894
id12996,0.7886418,0.103313945,0.10804416
id18262,0.12815727,0.18287571,0.688967
id08606,0.59905475,0.38482782,0.016117482
id17233,0.8171139,0.10023798,0.08264819
id00101,0.86706245,0.05916864,0.073768914
id12225,0.82109463,0.15100576,0.027899621
id01364,0.3366171,0.54951394,0.11386894
id24973,0.073496565,0.06952082,0.8569825
id25363,0.99773884,0.0010609014,0.001200252
id10061,0.12278591,0.15224087,0.72497326
id17673,0.90692437,0.039237145,0.053838503
id13249,0.6843659,0.255793,0.05984102
id10107,0.27912825,0.04788566,0.6729861
id04403,0.0987774,0.79806453,0.103158034
id25728,0.5654743,0.3573212,0.07720447
id16184,0.60477287,0.19560958,0.19961753
id03438,0.93478966,0.023807878,0.041402467
id22923,0.6051269,0.2871173,0.10775579
id08610,0.15953667,0.51539767,0.32506564
id25355,0.6159468,0.34756163,0.036491554
id16916,0.79698896,0.06855741,0.13445362
id12793,0.9825575,0.012293264,0.0051492834
id11859,0.5249162,0.22942296,0.24566092
id02434,0.96425694,0.0072109527,0.02853216
id27703,0.7909802,0.052247055,0.15677279
id25212,0.8760909,0.07117251,0.05273661
id11308,0.6142363,0.049514007,0.33624974
id26094,0.9905406,0.0066273855,0.0028320886
id22080,0.2505249,0.10676811,0.642707
id03545,0.49759394,0.05289772,0.44950834
id23725,0.2729577,0.23410098,0.49294138
id12009,0.9481503,0.03746735,0.014382444
id24241,0.7404104,0.057180673,0.20240898
id03596,0.596124,0.04532318,0.3585528
id10749,0.72739506,0.25966537,0.012939509
id22794,0.90327066,0.05201112,0.0447182
id15482,0.6170809,0.0061743963,0.37674466
id04833,0.1717751,0.38353887,0.444686
id00397,0.87497413,0.06766515,0.05736063
id14691,0.78741723,0.12023443,0.09234833
id05193,0.22262412,0.09051614,0.6868598
id19541,0.8810934,0.104608834,0.014297853
id22166,0.86830986,0.12729102,0.0043990873
id20744,0.011258711,0.98699576,0.0017455951
id10392,0.015006519,0.0013114813,0.983682
id00770,0.5588609,0.42955387,0.011585218
id06018,0.662225,0.26188758,0.075887404
id15678,0.2627545,0.5299677,0.20727785
id08305,0.82788587,0.074330114,0.097784
id08903,0.9665804,0.013680051,0.019739632
id14752,0.4919896,0.06307543,0.44493493
id12468,0.067659765,0.9167585,0.015581683
id05085,0.79086673,0.17839041,0.030742873
id21993,0.08342484,0.05301382,0.86356133
id15503,0.53897935,0.15691821,0.30410236
id03021,0.85330313,0.13737862,0.009318216
id16123,0.09728672,0.8815821,0.021131251
id19383,0.5736165,0.27094203,0.1554414
id04186,0.1403232,0.035622157,0.82405466
id17954,0.1967609,0.105289415,0.6979497
id12030,0.7663263,0.09647469,0.13719901
id13020,0.3600581,0.12357886,0.51636297
id25327,0.2702965,0.04615915,0.68354434
id16344,0.44770107,0.25145367,0.30084527
id12303,0.70707965,0.21170735,0.08121292
id15017,0.06477662,0.0839695,0.85125387
id22308,0.7229054,0.06426515,0.21282947
id06536,0.08684818,0.89205325,0.021098625
id19797,0.45915252,0.11438196,0.4264655
id06332,0.034749106,0.94169056,0.023560323
id22941,0.57824874,0.23375507,0.18799625
id13547,0.72317445,0.11847013,0.15835547
id06928,0.7475004,0.20210691,0.050392706
id12521,0.60586756,0.31273818,0.081394225
id25716,0.76455605,0.03456446,0.20087944
id27116,0.44138905,0.031329267,0.52728164
id19941,0.0093823355,0.025919463,0.96469814
id05711,0.17972673,0.6583977,0.1618756
id02097,0.100603566,0.062835075,0.8365613
id03563,0.5952083,0.13580059,0.26899108
id02295,0.46503013,0.34364322,0.19132662
id08179,0.011496164,0.0045046513,0.9839992
id05332,0.30472,0.017421138,0.6778589
id15697,0.65443623,0.025202109,0.32036173
id17026,0.8465006,0.010451889,0.14304754
id04243,0.2524621,0.5072143,0.24032366
id13175,0.98447984,0.01017465,0.0053454866
id05387,0.18570918,0.19880696,0.6154839
id19989,0.9592726,0.03366098,0.007066436
id25173,0.16966611,0.35267147,0.4776624
id08925,0.8659942,0.0834689,0.050536927
id03034,0.56831753,0.24615821,0.18552417
id13272,0.15717903,0.60716724,0.23565373
id07956,0.7899176,0.15186259,0.058219835
id02648,0.38033918,0.3558608,0.2638
