id,EAP,HPL,MWS
id02310,0.2934993,0.7063629,0.00013784207
id24541,0.9999988,4.4247344e-07,6.593866e-07
id00134,0.000103879196,0.99982494,7.116442e-05
id27757,0.02863283,0.9713633,3.877945e-06
id04081,0.0001362284,0.083764434,0.9160993
id27337,5.505955e-10,1.0,1.7275124e-11
id24265,0.992735,0.0072639873,9.585418e-07
id25917,0.8015117,0.086866945,0.11162131
id04951,0.000262141,0.99973744,3.998169e-07
id14549,0.54606456,0.095401786,0.35853368
id22505,0.9999999,1.0058571e-08,1.0982412e-07
id24002,0.0023754407,0.99497885,0.0026457303
id18982,5.676823e-10,4.9267545e-08,1.0
id15181,0.8288748,0.17109926,2.590476e-05
id21888,0.99995995,3.6060155e-09,4.007546e-05
id12035,0.9991328,0.0008632885,3.9671086e-06
id17991,0.11910449,0.8805109,0.00038457187
id10707,0.010350707,2.3766459e-05,0.9896255
id07101,0.49340132,0.1590427,0.34755597
id00345,1.5113933e-05,0.99998486,6.325316e-09
id05912,0.9977749,6.901221e-07,0.0022243683
id13443,0.9251525,0.009922227,0.064925276
id09248,0.9999999,5.7198243e-08,1.2392452e-07
id17542,0.91069585,0.08853382,0.0007704178
id06995,0.025264977,0.14573511,0.82899994
id25159,0.58188236,0.3802571,0.037860554
id25729,1.0,5.4964644e-08,5.7359394e-08
id26949,0.9998914,9.214225e-05,1.6434427e-05
id27191,1.4523957e-05,0.016377373,0.98360807
id07668,0.9999999,1.7760732e-07,3.1218132e-08
id02230,3.4819782e-06,0.99284476,0.0071517816
id15553,5.6273566e-05,0.0010662184,0.99887747
id25688,3.8626935e-10,1.0,1.5206685e-10
id17545,0.09898609,0.90092313,9.071772e-05
id13929,0.9617509,0.029260555,0.008988495
id12880,4.5127065e-11,1.0,1.8715829e-09
id19282,0.022319099,0.9772071,0.00047375233
id14690,0.00012773776,0.9896185,0.010253712
id17975,0.85821974,0.14178,1.693064e-07
id08037,0.9983157,0.0016819598,2.3844584e-06
id15412,0.9981438,2.452421e-05,0.0018317067
id25032,0.06764487,0.9321385,0.00021658278
id27165,0.90732306,0.09266975,7.237525e-06
id03327,0.9999993,6.6143514e-07,1.4130895e-08
id18515,0.99998355,1.6478616e-05,5.0684925e-08
id21003,4.1545965e-05,0.99981755,0.00014083264
id23855,0.78185445,0.036541622,0.18160398
id20724,0.99998486,1.3812145e-05,1.2946355e-06
id13303,0.99607,0.0039270404,2.91624e-06
id16521,1.327475e-09,1.0,3.9112926e-09
id20775,0.9981933,0.00022736382,0.0015793093
id13029,0.0011541997,0.6713148,0.32753095
id14660,0.0075309677,0.061377328,0.93109167
id11028,0.99999774,6.6008687e-07,1.5177907e-06
id14180,1.0,1.2162471e-08,4.3331692e-11
id25860,2.0719712e-07,0.99999976,1.7577003e-08
id11910,0.99977845,1.796954e-05,0.00020350867
id08065,0.025176508,0.96152514,0.013298259
id22674,0.99997544,2.0316855e-05,4.284594e-06
id25018,0.999734,0.00026377788,2.2557897e-06
id10892,9.3924405e-07,2.3519906e-06,0.99999666
id10217,0.9999981,1.6767141e-06,2.414437e-07
id12996,0.9769383,0.0018565455,0.021205118
id18262,1.1457305e-07,0.00038359826,0.99961627
id08606,0.22515367,0.7748455,8.247737e-07
id17233,0.9983919,0.001602417,5.5464175e-06
id00101,0.99999964,1.9270466e-07,7.6471686e-08
id12225,0.001278182,0.9987218,3.5793146e-09
id01364,0.0026261655,0.99735296,2.0942965e-05
id24973,0.0001484789,0.43180627,0.56804526
id25363,1.0,3.5392345e-11,2.0415142e-11
id10061,0.723259,0.080743335,0.19599764
id17673,0.997335,3.3838896e-05,0.0026310992
id13249,0.9973116,0.0009975297,0.001690959
id10107,0.028659439,7.20286e-06,0.9713334
id04403,3.5563226e-05,0.9999641,3.8793505e-07
id25728,8.061267e-05,0.9999188,5.619427e-07
id16184,0.9996253,0.0003577789,1.6918942e-05
id03438,0.99960095,9.517177e-05,0.00030390525
id22923,0.9999999,1.16461166e-07,5.031434e-08
id08610,1.6291309e-11,0.9999999,1.7741061e-07
id25355,0.9026392,0.09610716,0.0012536906
id16916,0.9999844,1.8269121e-06,1.3885227e-05
id12793,0.9999999,1.7489046e-07,7.781665e-09
id11859,0.5591056,0.44003612,0.0008583381
id02434,0.9999994,2.7082075e-07,3.6321924e-07
id27703,0.9345999,0.06534988,5.0245315e-05
id25212,0.9986112,0.0013794778,9.2960545e-06
id11308,0.7737578,0.2217835,0.004458692
id26094,0.9999993,1.486468e-07,6.094274e-07
id22080,0.007252946,0.0013528625,0.9913942
id03545,0.9999999,3.691696e-10,9.8060596e-08
id23725,4.8958104e-06,0.9999925,2.6403713e-06
id12009,0.9999999,1.4875027e-07,2.1051772e-08
id24241,0.998792,0.000104311745,0.0011037161
id03596,7.1596645e-08,4.1121064e-07,0.9999995
id10749,0.00055445073,0.9994454,6.981621e-08
id22794,0.9998729,4.774359e-06,0.00012227843
id15482,0.99999917,6.7512254e-08,6.9296914e-07
id04833,0.91765356,0.07199764,0.010348793
id00397,0.034965113,0.0018602989,0.9631746
id14691,0.0088824155,0.00073387974,0.9903837
id05193,0.008502806,0.098739214,0.89275795
id19541,0.97635925,0.023590658,5.0203376e-05
id22166,0.99999964,3.128711e-07,2.268593e-08
id20744,6.852631e-08,0.9999999,2.0650688e-09
id10392,7.744839e-08,2.4152498e-06,0.9999975
id00770,1.0,3.2372777e-10,2.4023245e-10
id06018,0.00023995966,0.9997601,5.833394e-09
id15678,0.8814244,0.076881,0.041694622
id08305,0.9924837,0.0062964265,0.001219944
id08903,0.9999976,6.27669e-08,2.3152593e-06
id14752,0.30920336,0.59954685,0.091249794
id12468,5.2456007e-06,0.9999794,1.535372e-05
id05085,0.99877375,0.0012189633,7.2483517e-06
id21993,0.026113484,0.7639524,0.20993413
id15503,2.748556e-10,0.99999905,9.1079676e-07
id03021,0.9958746,0.0040771514,4.833052e-05
id16123,6.5708434e-08,0.99999976,7.570918e-08
id19383,0.99974936,2.5424806e-05,0.00022527698
id04186,4.290877e-06,7.255246e-07,0.999995
id17954,0.852221,0.005189106,0.1425899
id12030,0.99997914,1.8678984e-06,1.8953397e-05
id13020,0.99999917,1.712103e-08,8.8116974e-07
id25327,0.5927184,0.35077032,0.056511283
id16344,0.01738993,0.9825912,1.883558e-05
id12303,0.9524813,0.014226816,0.033291858
id15017,5.908823e-07,0.00014721043,0.9998522
id22308,0.99998975,1.5194745e-06,8.748218e-06
id06536,0.009868284,0.99008906,4.2664575e-05
id19797,0.99999774,2.80611e-07,2.0159207e-06
id06332,2.0745435e-13,1.0,1.7167411e-12
id22941,1.0,1.8197701e-09,9.1033947e-10
id13547,0.00057145115,2.0150928e-05,0.99940836
id06928,0.56611025,0.4338847,5.0329536e-06
id12521,0.9999857,1.421333e-05,6.492107e-08
id25716,0.99952424,7.5780394e-05,0.0003999927
id27116,0.00040057098,4.1369848e-08,0.9995994
